Country,Year,Emisiones en MTCO2,Value_PIB Real Hist. ,Value_PIB Manufacturero Hist. ,Value_Hist. Export. Plásticos,Value_Hist. Import. Plásticos,Tasa de Desempleo,Tasa de Cambio,Productividad,Fuerza Laboral / Pob. Econ. Activa,Value_PIB minero,Value_Hist. Población Mundial,Value_Hist. Crecimiento Pob. Mun,Value_Población 0-14,Value_Población 15-64,Value_Población +65,Leyes sobre Economía Circular,,
Australia,1960,87.4443,18607682977,0,0,0,,0.892857,,0,0,10276477,0,0,6296003,876100,0,,
Australia,1961,87.0095,19684003149,0,0,0,,0.892857,,0,0,10483000,1.989740046,0,6421575,894050,0,,
Australia,1962,90.9086,19923683188,0,0,0,,0.892857,,0,0,10742000,2.440639401,0,6593630,917544,0,,
Australia,1963,95.9958,21540963447,0,0,0,,0.892857,,0,0,10950000,1.917816478,0,6737665,935826,0,,
Australia,1964,103.5448,23801123808,0,0,0,,0.892857,,0,0,11167000,1.96235442,0,6887141,952912,0,,
Australia,1965,113.6049,25977284156,0,0,0,,0.892857,,0,0,11388000,1.959716895,0,7042900,970027,0,,
Australia,1966,115.7362,27308964369,0,0,0,,0.892857,,0,0,11651000,2.283184382,0,7227503,990037,0,,
Australia,1967,122.2806,30442724871,0,0,0,,0.892857,,0,0,11799000,1.262276888,0,7345848,999382,0,,
Australia,1968,128.7681,32714085234,0,0,0,,0.892857,,0,0,12009000,1.764158656,0,7505805,1012156,0,,
Australia,1969,136.4135,36684485870,0,0,0,,0.892857,,0,0,12263000,2.09302301,0,7687760,1027633,0,,
Australia,1970,147.861,41334726614,0,0,0,,0.892857,,0,1.470685731,12507000,1.970188879,0,7858900,1043935,0,,
Australia,1971,151.1161,45217767235,0,0,0,,0.882670259,,0,1.412515801,12937000,3.380293537,0,8147343,1079307,0,,
Australia,1972,153.5982,52042056075,0,0,0,,0.838697807,,0,1.315015986,13177000,1.838146263,0,8316778,1105847,0,,
Australia,1973,170.1438,63833440102,0,0,0,,0.704113908,,0,1.847522248,13380000,1.528816914,0,8469457,1134637,0,,
Australia,1974,166.1827,88965364775,0,0,0,,0.696665869,,0,2.092474962,13723000,2.531220259,0,8720491,1176927,0,,
Australia,1975,173.1015,97304383449,54447399347,0,0,,0.763871249,,0,1.628952577,13893000,1.231185888,0,8866436,1209896,0,,
Australia,1976,169.8031,1.05061E+11,53866295974,0,0,,0.818284082,,0,1.950897661,14033000,1.00265826,0,8997284,1245825,0,,
Australia,1977,181.9147,1.10352E+11,55196749529,0,0,,0.901824999,,0,2.017082227,14192000,1.12667268,0,9142845,1283639,0,,
Australia,1978,191.0516,1.18493E+11,54958348146,0,0,,0.873659249,,0,1.520271157,14358000,1.162885259,0,9290331,1323888,0,,
Australia,1979,192.3219,1.34901E+11,57220677943,0,0,6.265,0.894640916,,0,1.779067798,14514000,1.08064227,0,9426194,1365939,0,,
Australia,1980,204.3702,1.49988E+11,59687263092,0,0,6.105,0.878244332,,0,1.992930879,14692000,1.21894271,0,9569919,1408551,0,,
Australia,1981,213.8099,1.76895E+11,60910311858,0,0,5.784,0.870214582,,0,1.346576395,14923260,1.561794161,0,9745671,1451946,0,,
Australia,1982,218.0009,1.94042E+11,62420808124,0,0,7.163,0.985862832,,0,1.337776518,15184247,1.733743929,0,9943831,1494350,0,,
Australia,1983,207.6454,1.77267E+11,57286486658,0,0,9.961,1.110014999,,0,1.245890678,15393472,1.368501459,0,10113714,1530916,0,,
Australia,1984,217.5162,1.93525E+11,58156279206,0,0,8.987,1.139519166,,0,1.347477009,15579391,1.200542766,0,10273063,1568279,0,,
Australia,1985,224.5559,1.80643E+11,61126983948,0,0,8.258,1.431895,,0,1.518570797,15788312,1.332096835,0,10450551,1614246,0,,
Australia,1986,224.0403,1.82481E+11,61515627871,0,0,8.081,1.495974166,,0,1.291559058,16018350,1.446502063,0,10643016,1669875,0,,
Australia,1987,234.5998,1.89496E+11,63199337643,0,0,8.106,1.42818,,0,1.417862884,16263874,1.521138904,0,10841586,1726864,0,,
Australia,1988,240.737,2.36161E+11,67414199606,0,0,7.226,1.279908333,,0,2.811492194,16532164,1.636148763,0,11045265,1781574,0,,
Australia,1989,256.8366,2.99876E+11,71296913808,0,0,6.175,1.264596667,,0,1.514301148,16814416,1.692879694,0,11248032,1834847,0,,
Australia,1990,278.1605,3.11427E+11,70456921433,0,0,6.926,1.281056667,,8500719,1.509737253,17065128,1.480046937,0,11417235,1887174,0,,
Australia,1991,279.5343,3.25975E+11,68905449928,0,0,9.586,1.283755833,,8539975,1.268602333,17284036,1.274621786,0,11552182,1942287,0,,
Australia,1992,284.529,3.25525E+11,66861654733,0,0,10.733,1.361648333,,8607321,1.19653198,17478635,1.119597701,0,11667053,1994928,0,,
Australia,1993,288.8737,3.12134E+11,68289579687,0,0,10.879,1.47056,,8638153,0.93808861,17634808,0.889539826,0,11757630,2041998,0,,
