Country,Year,PIB per capita,Value_PIB minero,Value_PIB Manufacturero Hist.,Value_PIB Real Hist. ,Leyes sobre Economía Circular,Value_Hist. Import. Plásticos,Value_Hist. Export. Plásticos,Tasa de Cambio,Tasa de Desempleo,Productividad,Densidad Poblacional,Indice de Gini,Emisiones en MTCO2,Value_Población +65,Value_Población 15-64,Value_Población 0-14,Fuerza Laboral / Pob. Econ. Activa,Value_Hist. Crecimiento Pob. Mun,Value_Hist. Población Mundial
Australia,1960,1810.70643,,,18607682977,0,,,0.892857,,,,,87.4443,876100,6296003,3104374,,,10276477
Australia,1961,1877.707064,,,19684003149,0,,,0.892857,,,1.364565299,,87.0095,894050,6421575,3167374,,1.989740046,10483000
Australia,1962,1854.746154,,,19923683188,0,,,0.892857,,,1.398279161,,90.9086,917544,6593630,3230825,,2.440639401,10742000
Australia,1963,1967.211274,,,21540963447,0,,,0.892857,,,1.425354386,,95.9958,935826,6737665,3276509,,1.917816478,10950000
Australia,1964,2131.3803,,,23801123808,0,,,0.892857,,,1.453601135,,103.5448,952912,6887141,3326947,,1.96235442,11167000
Australia,1965,2281.110305,,,25977284156,0,,,0.892857,,,1.482368561,,113.6049,970027,7042900,3375073,,1.959716895,11388000
Australia,1966,2343.915919,,,27308964369,0,,,0.892857,,,1.516603101,,115.7362,990037,7227503,3433460,,2.283184382,11651000
Australia,1967,2580.110592,,,30442724871,0,,,0.892857,,,1.535868164,,122.2806,999382,7345848,3453770,,1.262276888,11799000
Australia,1968,2724.130672,,,32714085234,0,,,0.892857,,,1.563203728,,128.7681,1012156,7505805,3491039,,1.764158656,12009000
Australia,1969,2991.477279,,,36684485870,0,,,0.892857,,,1.596266743,,136.4135,1027633,7687760,3547607,,2.09302301,12263000
Australia,1970,3304.92737,1.470685731,,41334726614,0,,,0.892857,,,1.628028065,,147.861,1043935,7858900,3604165,,1.970188879,12507000
Australia,1971,3495.228201,1.412515801,,45217767235,0,,,0.882670259,,,1.684000885,,151.1161,1079307,8147343,3710350,,3.380293537,12937000
Australia,1972,3949.461643,1.315015986,,52042056075,0,,,0.838697807,,,1.715241529,,153.5982,1105847,8316778,3754375,,1.838146263,13177000
Australia,1973,4770.810172,1.847522248,,63833440102,0,,,0.704113908,,,1.741665907,,170.1438,1134637,8469457,3775906,,1.528816914,13380000
Australia,1974,6482.938481,2.092474962,,88965364775,0,,,0.696665869,,,1.786313995,,166.1827,1176927,8720491,3825582,,2.531220259,13723000
Australia,1975,7003.842471,1.628952577,54447399347,97304383449,0,,,0.763871249,,,1.808442784,,173.1015,1209896,8866436,3816667,,1.231185888,13893000
Australia,1976,7486.682604,1.950897661,53866295974,1.05061E+11,0,,,0.818284082,,,1.826666493,,169.8031,1245825,8997284,3789891,,1.00265826,14033000
Australia,1977,7775.658469,2.017082227,55196749529,1.10352E+11,0,,,0.901824999,,,1.84736342,,181.9147,1283639,9142845,3765515,,1.12667268,14192000
Australia,1978,8252.734457,1.520271157,54958348146,1.18493E+11,0,,,0.873659249,,,1.868971532,,191.0516,1323888,9290331,3743782,,1.162885259,14358000
Australia,1979,9294.515783,1.779067798,57220677943,1.34901E+11,0,,,0.894640916,6.265,,1.889277951,,192.3219,1365939,9426194,3721867,,1.08064227,14514000
Australia,1980,10208.80368,1.992930879,59687263092,1.49988E+11,0,,,0.878244332,6.105,,1.912448095,,204.3702,1408551,9569919,3713530,,1.21894271,14692000
Australia,1981,11853.66942,1.346576395,60910311858,1.76895E+11,0,,,0.870214582,5.784,,1.942551059,31.3,213.8099,1451946,9745671,3725642,,1.561794161,14923260
Australia,1982,12779.14592,1.337776518,62420808124,1.94042E+11,0,,,0.985862832,7.163,,1.976523567,,218.0009,1494350,9943831,3746066,,1.733743929,15184247
